Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Direito Constitucional,13.19.03,3,"Das Finanças, da Tributação e do Orçamento (arts. 140 a 156 da CE-RS)",6,6
Direito Constitucional,13.20,2,Constituição do Estado de Rondônia,16,16
Direito Constitucional,13.21,2,Constituição do Estado de Roraima,17,17
Direito Constitucional,13.22,2,Constituição do Estado de Santa Catarina,11,11
Direito Constitucional,13.22.01,3,"Dos Princípios, Direitos e Garantias Fundamentais (arts. 1º a 4º da CE-SC)",1,1
Direito Constitucional,13.22.02,3,Da Organização Político-Administrativa do Estado (arts. 5º a 31 da CE-SC),2,2
Direito Constitucional,13.22.03,3,Da Organização dos Poderes (arts. 32 a 104 da CE-SC),5,5
Direito Constitucional,13.22.04,3,Da Segurança Pública (arts. 105 a 109 da CE-SC),1,1
Direito Constitucional,13.22.05,3,Da Ordem Social (arts. 151 a 192 da CE-SC),2,2
Direito Constitucional,13.23,2,Constituição do Estado de Sergipe,9,9
Direito Constitucional,13.24,2,Constituição do Estado do Tocantins,4,4
Direito Constitucional,13.25,2,Lei Orgânica do Distrito Federal,363,363
Direito Constitucional,13.25.01,3,Dos Fundamentos da Organização dos Poderes e do Distrito Federal (arts. 1º a 5º da LO-DF),26,26
Direito Constitucional,13.25.02,3,Da Organização do Distrito Federal (arts. 6º a 52 da LO-DF),152,152
Direito Constitucional,13.25.02.01,4,Das Disposições Gerais (arts. 6º a 9º da LO-DF),6,6
Direito Constitucional,13.25.02.02,4,Da Organização Administrativa do Distrito Federal (arts. 10 a 13 da LO-DF),36,36
Direito Constitucional,13.25.02.03,4,Da Competência do Distrito Federal (arts. 14 a 18 da LO-DF),24,24
Direito Constitucional,13.25.02.04,4,Da Administração Pública (arts. 19 a 32 da LO-DF),46,46
Direito Constitucional,13.25.02.05,4,Dos Servidores Públicos (arts. 33 a 44 da LO-DF),30,30
Direito Constitucional,13.25.02.06,4,Dos Bens do Distrito Federal (arts. 46 a 52 da LO-DF),10,10
Direito Constitucional,13.25.03,3,Da Organização dos Poderes (arts. 53 a 124-B da LO-DF),124,124
Direito Constitucional,13.25.03.01,4,Das Disposições Gerais (art. 53 da LO-DF),2,2
Direito Constitucional,13.25.03.02,4,Do Poder Legislativo (arts. 54 a 86 da LO-DF),87,87
Direito Constitucional,13.25.03.03,4,Do Poder Executivo (arts. 87 a 109 da LO-DF),16,16
Direito Constitucional,13.25.03.04,4,Das Funções Essenciais à Justiça (arts. 110 a 116 da LO-DF),8,8
Direito Constitucional,13.25.03.05,4,Da Segurança Pública (arts. 117 a 124-B da LO-DF),11,11
Direito Constitucional,13.25.04,3,Da Tributação e do Orçamento do Distrito Federal (arts. 125 a 157 da LO-DF),22,22
Direito Constitucional,13.25.04.01,4,Do Sistema Tributário do Distrito Federal (arts. 125 a 142 da LO-DF),7,7
Direito Constitucional,13.25.04.02,4,Das Finanças Públicas (arts. 143 a 146 da LO-DF),8,8
Direito Constitucional,13.25.04.03,4,Do Orçamento (arts. 147 a 157 da LO-DF),7,7
Direito Constitucional,13.25.05,3,Da Ordem Econômica do Distrito Federal (arts. 158 a 199 da LO-DF),10,10
Direito Constitucional,13.25.06,3,Da Ordem Social e do Meio Ambiente (arts. 200 a 311 da LO-DF),22,22
Direito Constitucional,13.25.07,3,Da Política Urbana e Rural (arts. 312 a 349 da LO-DF),6,6
Direito Constitucional,13.25.08,3,Do Ato das Disposições Constitucionais Transitórias (LO-DF),1,1
Direito Constitucional,14,1,Leis Orgânicas dos Municípios,115,115
Direito Constitucional,14.01,2,Lei Orgânica do Município de Belo Horizonte,2,2
Direito Constitucional,14.01.01,3,Disposições Preliminares (arts. 1º a 3º da LOM-BH),1,1
Direito Constitucional,14.01.02,3,Da Organização dos Poderes (arts. 70 a 114 da LOM-BH),1,1
Direito Constitucional,14.01.02.01,4,Do Poder Executivo (arts. 102 a 114 da LOM-BH),1,1
Direito Constitucional,14.02,2,Lei Orgânica do Município de Boa Vista,8,8
Direito Constitucional,14.03,2,Lei Orgânica do Município de Cuiabá,1,1
Direito Constitucional,14.04,2,Lei Orgânica do Município de Fortaleza,10,10
