Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Direito Constitucional,05.04.01.06,4,Conselho Nacional do Ministério Público - CNMP,31,31
Direito Constitucional,05.04.01.07,4,Ministério Público dos Estados e Distrito Federal e Territórios,10,10
Direito Constitucional,05.04.01.08,4,Questões Mescladas de Ministério Público (arts. 127 a 130 da CF/1988),19,19
Direito Constitucional,05.04.02,3,Da Advocacia Pública (arts. 131 e 132 da CF/1988),77,77
Direito Constitucional,05.04.03,3,Advocacia Privada e Defensoria Pública (arts. 133 a 135 da CF/1988),98,98
Direito Constitucional,05.04.04,3,Questões Mescladas de Funções Essenciais à Justiça (arts. 127 a 135 da CF/1988),46,46
Direito Constitucional,05.05,2,Questões Mescladas de Organização dos Poderes (arts. 44 a 135 da CF/1988),68,68
Direito Constitucional,06,1,Defesa do Estado e das Instituições Democráticas (arts. 136 a 144 da CF/1988),364,364
Direito Constitucional,06.01,2,Estado de Defesa e de Sítio (arts. 136 a 141 da CF/1988),106,106
Direito Constitucional,06.02,2,Forças Armadas (arts. 142 e 143 da CF/1988),37,37
Direito Constitucional,06.03,2,Segurança Pública (art. 144 da CF/1988),221,221
Direito Constitucional,07,1,Tributação e Orçamento (arts. 145 a 169 da CF/1988),389,389
Direito Constitucional,07.01,2,Sistema Tributário Nacional (arts. 145 a 162 da CF/1988),221,221
Direito Constitucional,07.01.01,3,"Dos Princípios Gerais (Sistema Tributário Nacional, arts. 145 a 149-B da CF/1988)",64,64
Direito Constitucional,07.01.02,3,Limitações do Poder de Tributar (arts. 150 a 152 da CF/1988),83,83
Direito Constitucional,07.01.03,3,Dos Impostos da União (arts. 153 e 154 da CF/1988),18,18
Direito Constitucional,07.01.04,3,Dos Impostos dos Estados e Distrito Federal (art. 155 da CF/1988),17,17
Direito Constitucional,07.01.05,3,Dos Impostos dos Municípios (art. 156 da CF/1988),15,15
Direito Constitucional,07.01.06,3,"Do Imposto de Competência Compartilhada entre Estados, Distrito Federal e Municípios (arts. 156-A e 156-B da CF/1988)",1,1
Direito Constitucional,07.01.07,3,Da Repartição das Receitas Tributárias (arts. 157 a 162 da CF/1988),23,23
Direito Constitucional,07.02,2,Finanças Públicas (arts. 163 a 169 da CF/1988),168,168
Direito Constitucional,07.02.01,3,"Normas Gerais (Finanças Públicas, arts. 163 e 164-A da CF/1988)",28,28
Direito Constitucional,07.02.02,3,"Dos Orçamentos (Finanças Públicas, arts. 165 a 169 da CF/1988)",140,140
Direito Constitucional,08,1,Da Ordem Econômica e Financeira (arts. 170 a 192 da CF/1988),307,307
Direito Constitucional,08.01,2,Princípios Gerais da Ordem Econômica (arts. 170 a 172 e 175 a 181 da CF/1988),189,189
Direito Constitucional,08.02,2,Atuação do Estado no Domínio Econômico (arts. 173 e 174 da CF/1988),29,29
Direito Constitucional,08.03,2,"Políticas Urbana, Agrária e Fundiária (arts. 182 a 191 da CF/1988)",82,82
Direito Constitucional,08.04,2,Sistema Financeiro Nacional (art. 192 da CF/1988),7,7
Direito Constitucional,09,1,Ordem Social (arts. 193 a 232 da CF/1988),776,776
Direito Constitucional,09.01,2,Noções Gerais (Ordem Social),5,5
Direito Constitucional,09.02,2,Seguridade Social (arts. 194 a 204 da CF/1988),272,272
Direito Constitucional,09.02.01,3,"Disposições Gerais (Seguridade Social, arts. 194 e 195 da CF/1988)",74,74
Direito Constitucional,09.02.02,3,Da Saúde (arts. 196 a 200 da CF/1988),136,136
Direito Constitucional,09.02.03,3,Da Previdência Social (arts. 201 e 202 da CF/1988),33,33
Direito Constitucional,09.02.04,3,Da Assistência Social (arts. 203 e 204 da CF/1988),29,29
Direito Constitucional,09.03,2,"Da Educação, da Cultura e do Desporto (arts. 205 a 217 da CF/1988)",212,212
Direito Constitucional,09.04,2,Da Ciência e Tecnologia (arts. 218 e 219 da CF/1988),28,28
Direito Constitucional,09.05,2,Da Comunicação Social (arts. 220 a 224 da CF/1988),76,76
Direito Constitucional,09.06,2,Do Meio Ambiente (art. 225 da CF/1988),85,85
