Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Língua Portuguesa e Redação Oficial,04.10,2,Portaria (Redação Oficial),7,7
Língua Portuguesa e Redação Oficial,04.11,2,Relato (Redação Oficial),4,4
Língua Portuguesa e Redação Oficial,04.12,2,Relatório (Redação Oficial),45,45
Língua Portuguesa e Redação Oficial,04.13,2,Requerimento (Redação Oficial),28,28
Língua Portuguesa e Redação Oficial,04.14,2,Questões Variadas de Outros Expedientes de Redação Oficial,24,24
Língua Portuguesa e Redação Oficial,05,1,Semântica,1228,1228
Língua Portuguesa e Redação Oficial,05,1,Outros Manuais de Redação Oficial,116,116
Língua Portuguesa e Redação Oficial,05.01,2,Sinônimos e Antônimos,352,352
Língua Portuguesa e Redação Oficial,05.01,2,Manual de Redação Oficial do Tribunal de Contas do DF,20,20
Língua Portuguesa e Redação Oficial,05.02,2,Homônimos e Parônimos,17,17
Língua Portuguesa e Redação Oficial,05.02,2,Manual de Redação Oficial de Governos Estaduais,2,2
Língua Portuguesa e Redação Oficial,05.03,2,Denotação e Conotação,152,152
Língua Portuguesa e Redação Oficial,05.03,2,Normas de Redação e Atos Oficiais de Universidades,85,85
Língua Portuguesa e Redação Oficial,05.04,2,Polissemia,25,25
Língua Portuguesa e Redação Oficial,05.04,2,"Manual de Redação de Correspondências Oficiais, Relatórios Executivos e Normas Técnicas (ABDI)",2,2
Língua Portuguesa e Redação Oficial,05.05,2,Ordenação de Parágrafos,30,30
Língua Portuguesa e Redação Oficial,05.05,2,Manual de Redação e Estilo da Apex-Brasil,7,7
Língua Portuguesa e Redação Oficial,05.06,2,Significação de Vocábulo e Expressões,509,509
Língua Portuguesa e Redação Oficial,05.07,2,Outras Questões de Semântica,143,143
Língua Portuguesa e Redação Oficial,06,1,Sintaxe,1024,1024
Língua Portuguesa e Redação Oficial,06,1,Abreviações e Símbolos (Redação Oficial),1,1
Língua Portuguesa e Redação Oficial,06.01,2,"Frase, Oração e Período",41,41
Língua Portuguesa e Redação Oficial,06.02,2,Funções Sintáticas,507,507
Língua Portuguesa e Redação Oficial,06.02.01,3,Termos Essenciais da Oração,233,233
Língua Portuguesa e Redação Oficial,06.02.01.01,4,Sujeito,208,208
Língua Portuguesa e Redação Oficial,06.02.01.02,4,Predicado,25,25
Língua Portuguesa e Redação Oficial,06.02.02,3,"Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",164,164
Língua Portuguesa e Redação Oficial,06.02.03,3,"Termos Acessórios (Adjunto Adnominal, Adjunto Adverbial e Aposto). Vocativo",96,96
Língua Portuguesa e Redação Oficial,06.02.04,3,Adjunto adnominal x Complemento Nominal,14,14
Língua Portuguesa e Redação Oficial,06.03,2,Orações Coordenadas,40,40
Língua Portuguesa e Redação Oficial,06.04,2,Orações Subordinadas Substantivas,56,56
Língua Portuguesa e Redação Oficial,06.05,2,Orações Subordinadas Adjetivas,113,113
Língua Portuguesa e Redação Oficial,06.06,2,Orações Subordinadas Adverbiais,88,88
Língua Portuguesa e Redação Oficial,06.07,2,Orações Reduzidas,35,35
Língua Portuguesa e Redação Oficial,06.08,2,Funções Sintáticas dos Pronomes Relativos,16,16
Língua Portuguesa e Redação Oficial,06.09,2,Função Sintática dos Pronomes Pessoais Átonos,28,28
Língua Portuguesa e Redação Oficial,06.10,2,Questões Mescladas de Sintaxe,100,100
Língua Portuguesa e Redação Oficial,07,1,"Pontuação (Ponto, Vírgula, Travessão, Aspas, Parênteses, etc)",1528,1528
Língua Portuguesa e Redação Oficial,07,1,Outros Assuntos de Redação Oficial,19,19
Língua Portuguesa e Redação Oficial,08,1,Regência,896,896
Língua Portuguesa e Redação Oficial,08,1,Sem Classificação,53,53
Língua Portuguesa e Redação Oficial,08.01,2,Regência Nominal e Verbal (Casos Gerais),300,300
Língua Portuguesa e Redação Oficial,08.02,2,Crase,596,596
Língua Portuguesa e Redação Oficial,09,1,Concordância (Verbal e Nominal),746,746
Língua Portuguesa e Redação Oficial,10,1,Vozes (Voz Passiva e Voz Ativa),113,113
Língua Portuguesa e Redação Oficial,11,1,"Coerência. Coesão (Anáfora, Catáfora, Uso dos Conectores - Pronomes Relativos, Conjunções, etc)",1721,1721
Língua Portuguesa e Redação Oficial,12,1,"Tipos de Discurso (Direto, Indireto e Indireto Livre)",39,39
Língua Portuguesa e Redação Oficial,13,1,Linguagem,343,343
Língua Portuguesa e Redação Oficial,13.01,2,"Variações da Linguagem: Não Verbal, Regional, Histórica, Contextual. Neologismos e Estrangeirismos",32,32
Língua Portuguesa e Redação Oficial,13.02,2,Linguagem Formal e Informal,112,112
Língua Portuguesa e Redação Oficial,13.03,2,Figuras de Linguagem,100,100
Língua Portuguesa e Redação Oficial,13.04,2,"Vícios de Linguagem (Pleonasmo, Ambiguidade, Cacofonia, etc.)",36,36
Língua Portuguesa e Redação Oficial,13.05,2,"Funções da Linguagem (Emotiva, Apelativa, Poética, Denotativa, etc)",63,63
Língua Portuguesa e Redação Oficial,14,1,"Partícula ""Se""",204,204
Língua Portuguesa e Redação Oficial,15,1,"Vocábulo ""Como""",27,27
Língua Portuguesa e Redação Oficial,16,1,"Vocábulo ""Que""",98,98
Língua Portuguesa e Redação Oficial,17,1,Interpretação de Textos (Compreensão),7120,7120
Língua Portuguesa e Redação Oficial,18,1,Tipologia e Gênero Textual,737,737
Língua Portuguesa e Redação Oficial,19,1,Paralelismo,35,35
Língua Portuguesa e Redação Oficial,20,1,Reescrita de Frases. Substituição de Palavras ou Trechos de Texto.,3394,3394
Língua Portuguesa e Redação Oficial,21,1,Clareza e Correção,949,949
Língua Portuguesa e Redação Oficial,22,1,Outras Questões de Português e Questões Mescladas (Interpretação de Textos ou Gramática),709,709
Língua Portuguesa e Redação Oficial,23,1,Sem Classificação,736,736
